,0
0,rmse
1,SLATB001
2,SPAN
3,EFFTB003
4,TMNFTB003
5,CVO
6,FLTB003
7,TDWI
8,CVL
9,TEFFMX
104,"[3.0462529089523254, 0.002228366266856548, 37.20195999545757, 0.18570689821623734, 0.8882859346260371, 0.8411851942379822, 0.6464686968744358, 48.41691053208312, 0.745978010777708, 41.50464330082685]"
105,"[1.014602865764998, 0.0018765682514398844, 32.486373347739594, 0.6396906652454822, 1.4079059812365873, 0.6695713820633808, 0.5617459240882404, 36.34164941672619, 0.6409484240255136, 40.568276810624184]"
106,"[3.2750022847761406, 0.0016700353433665607, 41.81305278188973, 0.48543250043071984, 0.756315747491723, 0.549498589930951, 0.5479756309920256, 25.043145515153842, 0.7872817941385579, 35.45885718578323]"
107,"[2.1953627401764857, 0.004120820413206742, 46.30440096842401, 0.34609610687944176, 1.3039993379970127, 0.6087337308972843, 0.5092588245918355, 61.2104618960425, 0.5109455159890094, 20.532062756022356]"
108,"[3.2999762601587017, 0.0015387481405696802, 48.46742693695183, 0.369724511958287, 0.8225903681468464, 0.7361750135428851, 0.6376171736258738, 40.8355412758339, 0.4808508597128137, 27.259552517769137]"
109,"[2.5875950696372456, 0.0025556274406258253, 31.057458510731152, 0.139951414764578, 1.182300977738437, 0.47343419525220887, 0.6582628188345826, 43.12898990119091, 0.7672795450675969, 26.24665340145875]"
110,"[5.470280333640639, 0.00380463067083523, 29.609676072966423, 0.6233948884940933, 1.4747463713915554, 0.8180927245771131, 0.683075580986382, 50.64909620905666, 0.5413459593477333, 34.76026062568733]"
111,"[3.4867641019258944, 0.0005474416102977807, 24.921744034913473, 0.5174204350893807, 1.2123149052858222, 0.6531486311171791, 0.5914454015203066, 68.01117002582652, 0.36570069539362915, 32.78951877931215]"
112,"[1.2511094445927278, 0.0028261632966433852, 45.0133134401696, 0.23004872974314544, 1.2598721890791378, 0.4083170601378989, 0.6985440066876972, 41.84795561274837, 0.4299156597640031, 36.72402139135524]"
113,"[2.4674640276802453, 0.0035463527878205952, 39.0650526708063, 0.3810684936294705, 1.111179456221522, 0.9395533704601498, 0.6743959555334444, 57.41564167126812, 0.6156744347818051, 31.41950494599242]"
114,"[2.415724774502505, 0.0029483493301144066, 23.72475194627817, 0.3282636967814534, 0.9572307005422733, 0.6306385911862737, 0.5244580936104036, 74.26602320580365, 0.590454546065702, 22.47487986820584]"
115,"[2.459364116905763, 0.002715211921436218, 47.47468171617327, 0.6812106692940758, 0.5005917986179973, 0.525991587509679, 0.5424283838450579, 71.58675606038423, 0.6740389925853065, 28.89570968932057]"
116,"[3.0227261860119845, 0.0020744128273623387, 43.43036393688312, 0.43557727877165825, 0.6986485327005441, 0.8990366202263779, 0.6149983113773543, 33.48203806292899, 0.7327421823082247, 37.76737909604067]"
117,"[1.1702094055988295, 0.001912512081230245, 50.491492403367545, 0.5041608681384545, 1.345219145434721, 0.7989434054011125, 0.6287885959748096, 35.93586500769232, 0.3975517002847746, 30.451683695157396]"
118,"[1.6457188396307907, 0.00332566409808904, 33.9504461288177, 0.4154413043848103, 0.9113413202470021, 0.9175588119846021, 0.49839713123233664, 59.962159459415425, 0.4544387175211472, 40.102947580470676]"
119,"[5.2539391920504, 0.0036691157573701663, 18.642896249368366, 0.5773387183494282, 1.3851040441819975, 0.7156331057979443, 0.5754672235397101, 62.216677242477424, 0.8184234804257557, 33.84265512790211]"
120,"[0.7654314353726528, 0.0023638341487351015, 37.55076108485342, 0.2658598239089009, 1.08362065904933, 0.7573050298373807, 0.7639856707718251, 66.20097016564368, 0.9788049173753278, 43.41759736014218]"
121,"[3.4974472638729517, 0.0017947068776494762, 20.072522030042975, 0.3081491658700812, 0.5928794303519384, 0.6751155646183773, 0.6653939379672702, 28.43563731116779, 0.7200442246751128, 38.824141695913845]"
122,"[5.132268857918652, 0.00323092337284397, 35.19747430103354, 0.7048817161848772, 1.4372943791257227, 0.7787457081521686, 0.7381779189035936, 44.03238936541095, 0.567010531521079, 32.50545309022259]"
123,"[3.1210195443903963, 0.0019900188737569124, 35.97437358133695, 0.5316591274809246, 0.8023603158810916, 0.8740524464322157, 0.5847765354916981, 45.252735822487594, 0.34002392360158884, 35.72463492708454]"
124,"[3.503666620356486, 0.0007818159383169794, 38.25101109975101, 0.2070286260002985, 0.9877714807401239, 0.578656358179348, 0.4803157957252238, 53.714056517985846, 0.6079290950055775, 36.53484053524574]"
125,"[1.89299059172869, 0.0037461141967804084, 45.288208685805195, 0.29016250583645997, 1.2215567177725934, 0.559547339130873, 0.64948439270448, 55.71174714985268, 0.49508878133661904, 42.135636077547446]"
126,"[0.7134511617625163, 0.0022139228379182163, 39.44607349495859, 0.6527581642215424, 0.8644028199304874, 0.7010656540401058, 0.6037561800413761, 63.3374709847131, 0.7955121278338121, 30.50166904619099]"
127,"[2.2994126548466607, 0.002595526397726367, 40.9461226763645, 0.5909411321581282, 1.046372610162147, 0.4329219629370528, 0.7161688985213271, 39.377604411790905, 0.8402156965994083, 31.342575623419464]"
128,"[2.9084318457435865, 0.00342351314323409, 31.79889151662675, 0.5586935600719211, 0.43172619480492713, 0.7344919658567478, 0.5560671483432995, 51.582360811516565, 0.6999028473537141, 41.1272043646617]"
